Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.38476110022344
Afghanistan,AFG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,50000000
Afghanistan,AFG,Net migration,SM.POP.NETM,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,56.937760009803
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.246732042281782
Albania,ALB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2306000000
Albania,ALB,Net migration,SM.POP.NETM,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.612262773723
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2.00737383000812
Algeria,DZA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Algeria,DZA,Net migration,SM.POP.NETM,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.7300750711665
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.279065761519574
American Samoa,ASM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
American Samoa,ASM,Net migration,SM.POP.NETM,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,277.325
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.00649321134981403
Andorra,AND,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Andorra,AND,Net migration,SM.POP.NETM,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,163.842553191489
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.27613387502724
Angola,AGO,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,557000000
Angola,AGO,Net migration,SM.POP.NETM,..
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,24.7130520574316
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.897185120114641
Antigua and Barbuda,ATG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,971000000
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,..
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,218.831818181818
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.01580834908002
Argentina,ARG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,5999000000
Argentina,ARG,Net migration,SM.POP.NETM,..
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.2585100979651
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.236306378760517
Armenia,ARM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1237000000
Armenia,ARM,Net migration,SM.POP.NETM,..
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,103.680224798033
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.453575638777095
Aruba,ABW,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2024000000
Aruba,ABW,Net migration,SM.POP.NETM,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,588.027777777778
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.53610551570388
Australia,AUS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,47327000000
Australia,AUS,Net migration,SM.POP.NETM,..
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.24912948744283
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.487071924768999
Austria,AUT,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,25411000000
Austria,AUT,Net migration,SM.POP.NETM,..
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,107.206926667578
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.866608673169798
Azerbaijan,AZE,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2830000000
Azerbaijan,AZE,Net migration,SM.POP.NETM,..
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,120.265319946776
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.01095334432863
"Bahamas, The",BHS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,3383000000
"Bahamas, The",BHS,Net migration,SM.POP.NETM,..
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,38.5254745254745
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.92116137205662
Bahrain,BHR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,3834000000
Bahrain,BHR,Net migration,SM.POP.NETM,..
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,2017.27369979138
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.05004464945676
Bangladesh,BGD,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,357000000
Bangladesh,BGD,Net migration,SM.POP.NETM,..
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1239.57931166936
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.142439722865012
Barbados,BRB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1125000000
Barbados,BRB,Net migration,SM.POP.NETM,..
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,666.606976744186
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.155570407004577
Belarus,BLR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1221000000
Belarus,BLR,Net migration,SM.POP.NETM,..
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.7287999040892
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.509444678207556
Belgium,BEL,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,10381000000
Belgium,BEL,Net migration,SM.POP.NETM,..
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,377.214927344782
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.92457576999509
